S.NO.,REFUND DATE,"IRCTC ORDER NO.","BANK BOOKING REF.NO.","BANK REFUND REF.NO.","REFUND AMOUNT",DEBITED ON,"CUST.ACC.NO.",REMARKS
1,08-Jan-2024,100004655585766,162470800559938,1545327,1450,09-Jan-2024,,
2,08-Jan-2024,100004672592888,577671805547640,1545329,57,09-Jan-2024,,
3,08-Jan-2024,100004712026178,266131816816648,1545330,315,09-Jan-2024,,
4,08-Jan-2024,100004536140423,831849772031173,1545332,320.56,09-Jan-2024,,
5,08-Jan-2024,100004655772064,413611800602911,1545334,1410,09-Jan-2024,,
6,08-Jan-2024,100004712898414,211049817400268,1545335,200.56,09-Jan-2024,,
7,08-Jan-2024,100004691306876,946622810475901,1545336,1155.28,09-Jan-2024,,
8,08-Jan-2024,100004689811893,157261810090917,1545337,1710.56,09-Jan-2024,,
9,08-Jan-2024,100004710111757,913756816218196,1545339,5276.4,09-Jan-2024,,
10,08-Jan-2024,100004713118109,161409817432875,1545340,200.56,09-Jan-2024,,
11,08-Jan-2024,100004534105443,199261771738349,1545341,330,09-Jan-2024,,
12,08-Jan-2024,100004517630166,344806767656337,1545344,1155.84,09-Jan-2024,,
13,08-Jan-2024,100004689646157,607991809881775,1545345,510.56,09-Jan-2024,,
14,08-Jan-2024,100004452044955,538820751460754,1545346,2560.56,09-Jan-2024,,
15,08-Jan-2024,100004702076121,810789813605966,1545347,820.56,09-Jan-2024,,
16,08-Jan-2024,100004711444209,197383816717462,1545349,150,09-Jan-2024,,
17,08-Jan-2024,100004696354342,175552812116286,1545350,185,09-Jan-2024,,
18,08-Jan-2024,100004549257919,162763775308083,1545351,410.56,09-Jan-2024,,
19,08-Jan-2024,100004709235057,917462815904549,1545352,160,09-Jan-2024,,
20,08-Jan-2024,100004702076057,146332813604631,1545355,1700,09-Jan-2024,,
21,08-Jan-2024,100004712707209,665287817284538,1545356,930,09-Jan-2024,,
22,08-Jan-2024,100004609620281,824123790732015,1545357,2655.84,09-Jan-2024,,
23,08-Jan-2024,100004715938162,156249817875543,1545359,1650,09-Jan-2024,,
24,08-Jan-2024,100004517630108,781076767651466,1545360,1541.12,09-Jan-2024,,
25,08-Jan-2024,100004681597449,164278808283838,1545361,260,09-Jan-2024,,
26,08-Jan-2024,100004708884399,102943815855169,1545362,7740,09-Jan-2024,,
27,08-Jan-2024,100004708002852,157823815575184,1545363,235.28,09-Jan-2024,,
28,08-Jan-2024,100004452044853,101024751451685,1545364,3530,09-Jan-2024,,
29,08-Jan-2024,100004704016489,904648814275265,1545365,225,09-Jan-2024,,
30,08-Jan-2024,100004609508498,160916790700091,1545367,3960.84,09-Jan-2024,,
31,08-Jan-2024,100004666211095,655938803935979,1545368,1000,09-Jan-2024,,
32,08-Jan-2024,100004438597474,161546748175098,1545369,150.28,09-Jan-2024,,
33,08-Jan-2024,100004715719591,177504817790043,1545370,178.05,09-Jan-2024,,
34,08-Jan-2024,100004715406952,153800817774619,1545371,1966.1,09-Jan-2024,,
35,08-Jan-2024,100004689811854,627363810086775,1545373,3410.56,09-Jan-2024,,
36,08-Jan-2024,100004691306837,201334810471793,1545374,1300,09-Jan-2024,,
37,08-Jan-2024,100004691692373,152011810658360,1545375,140,09-Jan-2024,,
38,08-Jan-2024,100004700793871,185705813292157,1545376,860,09-Jan-2024,,
39,08-Jan-2024,100004703248318,193464813821289,1545377,2445,09-Jan-2024,,
40,08-Jan-2024,100004707144916,153562815252772,1545378,90.28,09-Jan-2024,,
41,08-Jan-2024,100004708884432,107770815855691,1545379,7830,09-Jan-2024,,
