S.NO.,REFUND DATE,"IRCTC ORDER NO.","BANK BOOKING REF.NO.","BANK REFUND REF.NO.","REFUND AMOUNT",DEBITED ON,"CUST.ACC.NO.",REMARKS
1,04-Jan-2024,100004708055425,118031815589831,1545068,1065.75,05-Jan-2024,,
2,04-Jan-2024,100004706984778,543769815215957,1545069,3255.84,05-Jan-2024,,
3,04-Jan-2024,100004683139404,454974808627527,1545071,2790,05-Jan-2024,,
4,04-Jan-2024,100004703122284,680763813786572,1545072,630.56,05-Jan-2024,,
5,04-Jan-2024,100004678557471,155709807395405,1545073,975.28,05-Jan-2024,,
6,04-Jan-2024,100004703330813,427638813909367,1545074,60.28,05-Jan-2024,,
7,04-Jan-2024,100004611391214,170007791164311,1545076,885,05-Jan-2024,,
8,04-Jan-2024,100004703471746,208727814012442,1545077,430.28,05-Jan-2024,,
9,04-Jan-2024,100004707717536,840170815435790,1545078,1430.4,05-Jan-2024,,
10,04-Jan-2024,100004667140986,234130804215155,1545080,2290.56,05-Jan-2024,,
11,04-Jan-2024,100004682096667,147151808374364,1545081,735.28,05-Jan-2024,,
12,04-Jan-2024,100004686743718,864248809152994,1545082,385,05-Jan-2024,,
13,04-Jan-2024,100004698039055,312436812616070,1545083,170.28,05-Jan-2024,,
14,04-Jan-2024,100004701808260,104083813531925,1545084,265,05-Jan-2024,,
15,04-Jan-2024,100004703123465,194783813789962,1545085,1095.84,05-Jan-2024,,
16,04-Jan-2024,100004703471776,151380814016629,1545086,480.28,05-Jan-2024,,
17,04-Jan-2024,100004705409471,249210814585255,1545087,140,05-Jan-2024,,
18,04-Jan-2024,100004705859171,102755814783092,1545088,1755,05-Jan-2024,,
19,04-Jan-2024,100004707073291,194719815213348,1545089,2515.75,05-Jan-2024,,
20,04-Jan-2024,100004707277532,157773815277609,1545090,885,05-Jan-2024,,
21,04-Jan-2024,100004707592533,621801815355221,1545091,50.56,05-Jan-2024,,
22,04-Jan-2024,100004708034155,390497815550450,1545092,1495.75,05-Jan-2024,,
23,04-Jan-2024,100004708071386,142655815589761,1545093,995.75,05-Jan-2024,,
24,04-Jan-2024,100004708346576,434794815766563,1545094,232.7,05-Jan-2024,,
25,04-Jan-2024,100004686942975,142129809236709,1545067,385,05-Jan-2024,,
26,04-Jan-2024,100004636362903,658390796204636,1545079,801.4,05-Jan-2024,,
27,04-Jan-2024,100004703612654,110992814020311,1545101,845,05-Jan-2024,,
28,04-Jan-2024,100004678557415,201219807390176,1545111,705.28,05-Jan-2024,,
29,04-Jan-2024,100004667699939,136358804540280,1545123,5115.84,05-Jan-2024,,
30,04-Jan-2024,100004667140945,136308804211827,1545095,1770,05-Jan-2024,,
31,04-Jan-2024,100004448012106,146008750783136,1545096,430.28,05-Jan-2024,,
32,04-Jan-2024,100004691493468,606787810528957,1545097,210.84,05-Jan-2024,,
33,04-Jan-2024,100004703558812,200839814023246,1545098,250,05-Jan-2024,,
34,04-Jan-2024,100004535099003,222185771834592,1545099,180,05-Jan-2024,,
35,04-Jan-2024,100004687000577,125115809239117,1545100,645,05-Jan-2024,,
