S.NO.,REFUND DATE,"IRCTC ORDER NO.","BANK BOOKING REF.NO.","BANK REFUND REF.NO.","REFUND AMOUNT",DEBITED ON,"CUST.ACC.NO.",REMARKS
1,05-Jan-2024,100004696103631,501609811985813,1545151,2900,06-Jan-2024,,
2,05-Jan-2024,100004707626026,143653815333739,1545200,1570,06-Jan-2024,,
3,05-Jan-2024,100004695699301,113354811700635,1545161,1415.28,06-Jan-2024,,
4,05-Jan-2024,100004711168040,178486816652462,1545165,699.1,06-Jan-2024,,
5,05-Jan-2024,100004630512459,531774795190488,1545170,165.28,06-Jan-2024,,
6,05-Jan-2024,100004676125967,626274806689359,1545175,230,06-Jan-2024,,
7,05-Jan-2024,100004676125942,889889806684386,1545180,170,06-Jan-2024,,
8,05-Jan-2024,100004696103683,449861811994561,1545185,2900,06-Jan-2024,,
9,05-Jan-2024,100004709999141,229977816079297,1545190,2080,06-Jan-2024,,
10,05-Jan-2024,100004569813488,346467782056858,1545153,4020,06-Jan-2024,,
11,05-Jan-2024,100004709636769,210243816011189,1545164,443.05,06-Jan-2024,,
12,05-Jan-2024,100004704047247,197020814247734,1545173,505,06-Jan-2024,,
13,05-Jan-2024,100004551113764,370736775898876,1545184,630.56,06-Jan-2024,,
14,05-Jan-2024,100004709705569,190451816012903,1545147,1268.4,06-Jan-2024,,
15,05-Jan-2024,100004709649775,120416816011568,1545148,2067.7,06-Jan-2024,,
16,05-Jan-2024,100004703925475,646628814192016,1545149,105,06-Jan-2024,,
17,05-Jan-2024,100004693503867,486922811261391,1545150,1705.28,06-Jan-2024,,
18,05-Jan-2024,100004705653003,727611814658367,1545152,510,06-Jan-2024,,
19,05-Jan-2024,100004680526877,127687807762518,1545154,265,06-Jan-2024,,
20,05-Jan-2024,100004709963702,157536816110299,1545155,925.28,06-Jan-2024,,
21,05-Jan-2024,100004647345275,399522798691372,1545157,940,06-Jan-2024,,
22,05-Jan-2024,100004653734042,197235800125450,1545158,625.28,06-Jan-2024,,
23,05-Jan-2024,100004704746918,134659814446070,1545159,1550.56,06-Jan-2024,,
24,05-Jan-2024,100004709754559,115867816012795,1545160,542.7,06-Jan-2024,,
25,05-Jan-2024,100004707518895,101293815381350,1545162,1105,06-Jan-2024,,
26,05-Jan-2024,100004689247443,187753809674779,1545163,1655,06-Jan-2024,,
27,05-Jan-2024,100004705298440,145205814541746,1545166,140.28,06-Jan-2024,,
28,05-Jan-2024,100004705096850,254418814532022,1545167,1510,06-Jan-2024,,
29,05-Jan-2024,100004636552127,401440796208919,1545168,680,06-Jan-2024,,
30,05-Jan-2024,100004698072989,471963812787455,1545169,2200.56,06-Jan-2024,,
31,05-Jan-2024,100004705653054,154839814663184,1545171,85,06-Jan-2024,,
32,05-Jan-2024,100004710785678,721922816614629,1545172,215.28,06-Jan-2024,,
33,05-Jan-2024,100004691327165,638075810421241,1545174,110.56,06-Jan-2024,,
34,05-Jan-2024,100004690755433,158278810263580,1545176,770.28,06-Jan-2024,,
35,05-Jan-2024,100004621838285,460057793092482,1545177,811.68,06-Jan-2024,,
36,05-Jan-2024,100004702392953,427537813665022,1545178,765,06-Jan-2024,,
37,05-Jan-2024,100004699503637,198814813057862,1545179,620,06-Jan-2024,,
38,05-Jan-2024,100004701553382,712135813451104,1545181,1590,06-Jan-2024,,
39,05-Jan-2024,100004709647707,560964816011575,1545182,1158.05,06-Jan-2024,,
40,05-Jan-2024,100004709716591,137273816012542,1545183,788.4,06-Jan-2024,,
41,05-Jan-2024,100004621767784,804039793092812,1545186,270.56,06-Jan-2024,,
42,05-Jan-2024,100004709112948,194860815922084,1545187,287.7,06-Jan-2024,,
43,05-Jan-2024,100004709749338,109025816011034,1545188,3078.75,06-Jan-2024,,
44,05-Jan-2024,100004709867322,136442816026529,1545189,1245.28,06-Jan-2024,,
45,05-Jan-2024,100004670970218,194876804917423,1545191,1540.56,06-Jan-2024,,
46,05-Jan-2024,100004710059085,164487816109766,1545192,2375.4,06-Jan-2024,,
47,05-Jan-2024,100004461325163,175735754069924,1545193,700,06-Jan-2024,,
48,05-Jan-2024,100004676239387,185317806693601,1545194,290.28,06-Jan-2024,,
49,05-Jan-2024,100004709449453,329806815950656,1545195,1525.28,06-Jan-2024,,
50,05-Jan-2024,100004455027977,163102752506720,1545196,510.56,06-Jan-2024,,
51,05-Jan-2024,100004709974113,158582816061983,1545197,1944.45,06-Jan-2024,,
52,05-Jan-2024,100004622486094,189855793189952,1545198,315,06-Jan-2024,,
53,05-Jan-2024,100004709451171,286355815950200,1545199,5096.8,06-Jan-2024,,
54,05-Jan-2024,100004709750491,136300816012763,1545156,1017.7,06-Jan-2024,,
