S.NO.,REFUND DATE,"IRCTC ORDER NO.","BANK BOOKING REF.NO.","BANK REFUND REF.NO.","REFUND AMOUNT",DEBITED ON,"CUST.ACC.NO.",REMARKS
1,18-Jan-2024,100004503587083,115647764020625,1546007,130,20-Jan-2024,,
2,18-Jan-2024,100004736515505,175895823288370,1546065,488.05,20-Jan-2024,,
3,18-Jan-2024,100004661646058,272192802561083,1546009,840.28,20-Jan-2024,,
4,18-Jan-2024,100004736550400,196361823289668,1546010,713.05,20-Jan-2024,,
5,18-Jan-2024,100004731813100,548065822573005,1546011,10775,20-Jan-2024,,
6,18-Jan-2024,100004725123028,183763821093982,1546012,2970.56,20-Jan-2024,,
7,18-Jan-2024,100004617180416,249916791892389,1546013,2415,20-Jan-2024,,
8,18-Jan-2024,100004718265476,134206818875368,1546014,2430,20-Jan-2024,,
9,18-Jan-2024,100004703375036,113322813852313,1546015,260,20-Jan-2024,,
10,18-Jan-2024,100004610448901,195994791032551,1546017,3345,20-Jan-2024,,
11,18-Jan-2024,100004564731980,195239780068288,1546022,1470.56,20-Jan-2024,,
12,18-Jan-2024,100004734689784,142423822923321,1546027,335,20-Jan-2024,,
13,18-Jan-2024,100004624131292,142777793723182,1546033,410.56,20-Jan-2024,,
14,18-Jan-2024,100004737113728,317642823524305,1546066,2376.1,20-Jan-2024,,
15,18-Jan-2024,100004705689263,842778814705190,1546016,335,20-Jan-2024,,
16,18-Jan-2024,100004736497713,622748823289832,1546028,868.4,20-Jan-2024,,
17,18-Jan-2024,100004736550655,108690823294113,1546045,1068.05,20-Jan-2024,,
18,18-Jan-2024,100004630512484,102777795190911,1546055,195.28,20-Jan-2024,,
19,18-Jan-2024,100004736369806,122454823289173,1546064,1518.75,20-Jan-2024,,
20,18-Jan-2024,100004688221175,154439809450490,1546018,145.28,20-Jan-2024,,
21,18-Jan-2024,100004617180380,894909791889373,1546019,2415,20-Jan-2024,,
22,18-Jan-2024,100004609462863,988665790703447,1546020,7455,20-Jan-2024,,
23,18-Jan-2024,100004685638497,459821809043090,1546021,1160,20-Jan-2024,,
24,18-Jan-2024,100004736512476,490173823291302,1546023,1208.4,20-Jan-2024,,
25,18-Jan-2024,100004736223450,172117823230925,1546024,2826.1,20-Jan-2024,,
26,18-Jan-2024,100004726668495,125417821601546,1546025,105.28,20-Jan-2024,,
27,18-Jan-2024,100004736782144,287129823354525,1546026,653.05,20-Jan-2024,,
28,18-Jan-2024,100004678914567,653318807537320,1546029,130,20-Jan-2024,,
29,18-Jan-2024,100004675660477,103212806359966,1546030,1630.28,20-Jan-2024,,
30,18-Jan-2024,100004718316010,935365818851230,1546031,370,20-Jan-2024,,
31,18-Jan-2024,100004593979501,944508787603166,1546032,680,20-Jan-2024,,
32,18-Jan-2024,100004701736675,161448813531810,1546034,205.28,20-Jan-2024,,
33,18-Jan-2024,100004717876756,125701818676218,1546035,1230,20-Jan-2024,,
34,18-Jan-2024,100004617324849,815084791936611,1546036,135.28,20-Jan-2024,,
35,18-Jan-2024,100004530568129,140901771204786,1546037,410,20-Jan-2024,,
36,18-Jan-2024,100004726757746,120167821673537,1546038,175,20-Jan-2024,,
37,18-Jan-2024,100004701736626,104875813528158,1546039,145.28,20-Jan-2024,,
38,18-Jan-2024,100004736208886,136487823231789,1546040,10135.4,20-Jan-2024,,
39,18-Jan-2024,100004655293119,167869800356659,1546041,355,20-Jan-2024,,
40,18-Jan-2024,100004736411673,184267823287720,1546042,1107.7,20-Jan-2024,,
41,18-Jan-2024,100004687644808,131268809359623,1546043,235.28,20-Jan-2024,,
42,18-Jan-2024,100004719693431,190443819312235,1546044,650,20-Jan-2024,,
43,18-Jan-2024,100004718265415,185095818867857,1546046,2430.56,20-Jan-2024,,
44,18-Jan-2024,100004736611238,362207823291779,1546047,2587.7,20-Jan-2024,,
45,18-Jan-2024,100004719689551,512801819318453,1546048,145,20-Jan-2024,,
46,18-Jan-2024,100004718265447,199416818871930,1546049,2430,20-Jan-2024,,
47,18-Jan-2024,100004736159854,906241823232448,1546050,2540.56,20-Jan-2024,,
48,18-Jan-2024,100004718423963,123080819057210,1546051,2465.28,20-Jan-2024,,
49,18-Jan-2024,100004705689283,864438814706806,1546052,335,20-Jan-2024,,
50,18-Jan-2024,100004681372013,675223808182132,1546053,370.28,20-Jan-2024,,
51,18-Jan-2024,100004718265373,203211818862572,1546054,2430.56,20-Jan-2024,,
52,18-Jan-2024,100004718316108,942832818862966,1546056,370,20-Jan-2024,,
53,18-Jan-2024,100004701163538,817103813327169,1546057,200,20-Jan-2024,,
54,18-Jan-2024,100004703244954,194590813846515,1546058,550.28,20-Jan-2024,,
55,18-Jan-2024,100004710088305,543083816152631,1546059,6435.84,20-Jan-2024,,
56,18-Jan-2024,100004718265510,580729818880052,1546060,2430,20-Jan-2024,,
57,18-Jan-2024,100004723107729,431061820486054,1546061,3740,20-Jan-2024,,
58,18-Jan-2024,100004731770396,659930822573466,1546062,345.28,20-Jan-2024,,
59,18-Jan-2024,100004735466079,173459823108562,1546063,1995,20-Jan-2024,,
60,18-Jan-2024,100004617836128,767672791967402,1546008,25.28,20-Jan-2024,,
