S.NO.,REFUND DATE,"IRCTC ORDER NO.","BANK BOOKING REF.NO.","BANK REFUND REF.NO.","REFUND AMOUNT",DEBITED ON,"CUST.ACC.NO.",REMARKS
1,17-Jan-2024,100004600227978,125604788776394,1545947,900,18-Jan-2024,,
2,17-Jan-2024,100004734549415,174726822871746,1545982,198.05,18-Jan-2024,,
3,17-Jan-2024,100004732037436,159026822587670,1545951,1920,18-Jan-2024,,
4,17-Jan-2024,100004665686832,106752803880493,1545952,85,18-Jan-2024,,
5,17-Jan-2024,100004727708443,188421822119435,1545953,1890,18-Jan-2024,,
6,17-Jan-2024,100004723920936,153025820730301,1545954,1315,18-Jan-2024,,
7,17-Jan-2024,100004624423264,278434793754645,1545956,115.28,18-Jan-2024,,
8,17-Jan-2024,100004734451822,376945822871990,1545957,523.05,18-Jan-2024,,
9,17-Jan-2024,100004456961647,153709753086249,1545958,350,18-Jan-2024,,
10,17-Jan-2024,100004517420101,147938767532642,1545961,380.28,18-Jan-2024,,
11,17-Jan-2024,100004704074326,561494814270915,1545962,535,18-Jan-2024,,
12,17-Jan-2024,100004732114142,443107822590274,1545963,2075,18-Jan-2024,,
13,17-Jan-2024,100004718151072,199969818763746,1545964,2030,18-Jan-2024,,
14,17-Jan-2024,100004712635742,185415817301341,1545966,2030,18-Jan-2024,,
15,17-Jan-2024,100004734129849,385626822837995,1545967,1625.75,18-Jan-2024,,
16,17-Jan-2024,100004453322873,827244751861480,1545968,380,18-Jan-2024,,
17,17-Jan-2024,100004734470600,174770822871164,1545969,748.05,18-Jan-2024,,
18,17-Jan-2024,100004700007033,203051813129284,1545970,430,18-Jan-2024,,
19,17-Jan-2024,100004731681400,144321822561678,1545972,1525.28,18-Jan-2024,,
20,17-Jan-2024,100004734549408,131291822871985,1545973,867.7,18-Jan-2024,,
21,17-Jan-2024,100004705342466,107260814553459,1545974,155,18-Jan-2024,,
22,17-Jan-2024,100004717812340,907408818593213,1545975,275,18-Jan-2024,,
23,17-Jan-2024,100004720050234,147051819497107,1545976,95,18-Jan-2024,,
24,17-Jan-2024,100004732273573,124266822651430,1545979,1510,18-Jan-2024,,
25,17-Jan-2024,100004734047935,289870822827166,1545980,478.4,18-Jan-2024,,
26,17-Jan-2024,100004734457808,112663822871539,1545981,1607.7,18-Jan-2024,,
27,17-Jan-2024,100004734572454,124993822871508,1545983,1293.75,18-Jan-2024,,
28,17-Jan-2024,100004735135445,106809823025834,1545984,2600,18-Jan-2024,,
29,17-Jan-2024,100004735754760,645632823170628,1545985,280.28,18-Jan-2024,,
30,17-Jan-2024,100004704074254,207591814264900,1545986,410.28,18-Jan-2024,,
31,17-Jan-2024,100004734611489,302657822887825,1545987,1605,18-Jan-2024,,
32,17-Jan-2024,100004734479452,824052822871522,1545988,587.7,18-Jan-2024,,
33,17-Jan-2024,100004517420148,157010767537984,1545989,320.28,18-Jan-2024,,
34,17-Jan-2024,100004735236500,733528823052015,1545990,1705,18-Jan-2024,,
35,17-Jan-2024,100004734614894,934933822913855,1545991,2656.1,18-Jan-2024,,
36,17-Jan-2024,100004698065981,183227812798252,1545992,5380,18-Jan-2024,,
37,17-Jan-2024,100004733051783,172902822755123,1545993,5200,18-Jan-2024,,
38,17-Jan-2024,100004521975473,540978768971969,1545994,1100,18-Jan-2024,,
39,17-Jan-2024,100004451270315,384767751219909,1545995,425.28,18-Jan-2024,,
40,17-Jan-2024,100004718151157,158692818770320,1545948,830,18-Jan-2024,,
41,17-Jan-2024,100004735397432,204638823099771,1545959,1548.4,18-Jan-2024,,
42,17-Jan-2024,100004730965141,509884822498616,1545978,500.28,18-Jan-2024,,
43,17-Jan-2024,100004734555427,905552822871455,1545950,1018.4,18-Jan-2024,,
44,17-Jan-2024,100004704164839,136264814353506,1545955,2210,18-Jan-2024,,
45,17-Jan-2024,100004536817222,173466772120351,1545960,305,18-Jan-2024,,
46,17-Jan-2024,100004727181750,202442821921013,1545965,3330,18-Jan-2024,,
47,17-Jan-2024,100004730345688,548298822401689,1545971,1045.28,18-Jan-2024,,
48,17-Jan-2024,100004725535399,109082821405612,1545977,1035,18-Jan-2024,,
49,17-Jan-2024,100004689865669,180588810088565,1545949,1150.56,18-Jan-2024,,
