S.NO.,REFUND DATE,"IRCTC ORDER NO.","BANK BOOKING REF.NO.","BANK REFUND REF.NO.","REFUND AMOUNT",DEBITED ON,"CUST.ACC.NO.",REMARKS
1,19-Jan-2024,100004729732774,134612822346133,1546128,970.28,20-Jan-2024,,
2,19-Jan-2024,100004738624118,166473823893001,1546134,1290.28,20-Jan-2024,,
3,19-Jan-2024,100004738945124,121875823947339,1546139,518.05,20-Jan-2024,,
4,19-Jan-2024,100004732142002,995664822591585,1546155,2610,20-Jan-2024,,
5,19-Jan-2024,100004738660876,140791823942556,1546160,135.28,20-Jan-2024,,
6,19-Jan-2024,100004670397081,280759804812852,1546068,570.28,20-Jan-2024,,
7,19-Jan-2024,100004705952823,834807814909683,1546069,4840,20-Jan-2024,,
8,19-Jan-2024,100004729986822,111700822361569,1546070,1010.56,20-Jan-2024,,
9,19-Jan-2024,100004739875557,610196824467279,1546071,1320,20-Jan-2024,,
10,19-Jan-2024,100004736932164,917402823439231,1546073,260,20-Jan-2024,,
11,19-Jan-2024,100004688109201,215881809440685,1546074,775.28,20-Jan-2024,,
12,19-Jan-2024,100004738627052,194572823892836,1546075,1785.28,20-Jan-2024,,
13,19-Jan-2024,100004738397915,188020823888829,1546078,2885.4,20-Jan-2024,,
14,19-Jan-2024,100004736891305,201671823429613,1546080,260,20-Jan-2024,,
15,19-Jan-2024,100004618257794,830664792194327,1546082,990,20-Jan-2024,,
16,19-Jan-2024,100004738678851,286831823943124,1546083,198.05,20-Jan-2024,,
17,19-Jan-2024,100004739365350,617206824177502,1546085,1795,20-Jan-2024,,
18,19-Jan-2024,100004719839563,694145819402974,1546086,580,20-Jan-2024,,
19,19-Jan-2024,100004508892646,158010765660650,1546087,1545.84,20-Jan-2024,,
20,19-Jan-2024,100004688109171,601368809439748,1546088,775.28,20-Jan-2024,,
21,19-Jan-2024,100004572952052,188575782808550,1546090,265,20-Jan-2024,,
22,19-Jan-2024,100004560463934,180056778824750,1546091,3720,20-Jan-2024,,
23,19-Jan-2024,100004676550787,996913806883868,1546093,910.56,20-Jan-2024,,
24,19-Jan-2024,100004738769924,117784823945279,1546095,1578.75,20-Jan-2024,,
25,19-Jan-2024,100004473495549,270281756939575,1546096,1450,20-Jan-2024,,
26,19-Jan-2024,100004508892706,317702765665158,1546097,940.56,20-Jan-2024,,
27,19-Jan-2024,100004477313225,183320758262176,1546098,1870.56,20-Jan-2024,,
28,19-Jan-2024,100004705898432,433090814829334,1546100,845,20-Jan-2024,,
29,19-Jan-2024,100004736557289,184074823290078,1546101,160.28,20-Jan-2024,,
30,19-Jan-2024,100004738830584,139886823944044,1546102,440.28,20-Jan-2024,,
31,19-Jan-2024,100004734249053,200834822837917,1546105,980.28,20-Jan-2024,,
32,19-Jan-2024,100004451272294,513345751219987,1546106,510.56,20-Jan-2024,,
33,19-Jan-2024,100004507359769,277818765237848,1546107,95,20-Jan-2024,,
34,19-Jan-2024,100004536228958,163991772068012,1546108,810.28,20-Jan-2024,,
35,19-Jan-2024,100004738767475,633063823943023,1546110,475.28,20-Jan-2024,,
36,19-Jan-2024,100004451164946,353519751219973,1546111,365.28,20-Jan-2024,,
37,19-Jan-2024,100004688109189,150003809440390,1546112,775.28,20-Jan-2024,,
38,19-Jan-2024,100004679371356,194423807609269,1546076,1720,20-Jan-2024,,
39,19-Jan-2024,100004730535486,135629822426749,1546081,1035,20-Jan-2024,,
40,19-Jan-2024,100004739082081,450644824014405,1546092,535,20-Jan-2024,,
41,19-Jan-2024,100004630288432,151968795164777,1546103,135,20-Jan-2024,,
42,19-Jan-2024,100004731086917,193296822523364,1546121,2840,20-Jan-2024,,
43,19-Jan-2024,100004733495059,794739822795544,1546132,3180,20-Jan-2024,,
44,19-Jan-2024,100004730149031,981395822361893,1546143,1095.84,20-Jan-2024,,
45,19-Jan-2024,100004460617256,177870753885551,1546153,2340,20-Jan-2024,,
46,19-Jan-2024,100004738866368,902601823947545,1546114,198.05,20-Jan-2024,,
47,19-Jan-2024,100004460617304,851265753888206,1546115,4065,20-Jan-2024,,
48,19-Jan-2024,100004735135683,169403823040543,1546116,2600,20-Jan-2024,,
49,19-Jan-2024,100004734681441,177008822899845,1546117,2200,20-Jan-2024,,
50,19-Jan-2024,100004738759197,420501823942913,1546119,493.05,20-Jan-2024,,
51,19-Jan-2024,100004707576488,161743815353227,1546120,1951.4,20-Jan-2024,,
52,19-Jan-2024,100004739362482,447803824189289,1546122,1460.4,20-Jan-2024,,
53,19-Jan-2024,100004683131801,118777808666029,1546124,3380,20-Jan-2024,,
54,19-Jan-2024,100004703375074,640359813855382,1546125,520,20-Jan-2024,,
55,19-Jan-2024,100004706441072,142955815093755,1546126,1595.28,20-Jan-2024,,
56,19-Jan-2024,100004716518595,175656818293837,1546127,2035,20-Jan-2024,,
57,19-Jan-2024,100004730219063,151154822364340,1546129,365,20-Jan-2024,,
58,19-Jan-2024,100004731134643,997405822524338,1546130,2950,20-Jan-2024,,
59,19-Jan-2024,100004732261664,423995822651206,1546131,960,20-Jan-2024,,
60,19-Jan-2024,100004736671307,117110823310435,1546133,990,20-Jan-2024,,
61,19-Jan-2024,100004738710855,179541823943705,1546135,927.7,20-Jan-2024,,
62,19-Jan-2024,100004738733790,809599823943695,1546136,2017.7,20-Jan-2024,,
63,19-Jan-2024,100004738764377,274627823943792,1546137,348.05,20-Jan-2024,,
