S.NO.,REFUND DATE,"IRCTC ORDER NO.","BANK BOOKING REF.NO.","BANK REFUND REF.NO.","REFUND AMOUNT",DEBITED ON,"CUST.ACC.NO.",REMARKS
1,24-Jan-2024,100004747896360,423713826757944,1546527,243.05,25-Jan-2024,,
2,24-Jan-2024,100004747580598,139502826692472,1546528,988.4,25-Jan-2024,,
3,24-Jan-2024,100004746578985,174340826529214,1546532,70.28,25-Jan-2024,,
4,24-Jan-2024,100004742590493,140317825210742,1546537,590,25-Jan-2024,,
5,24-Jan-2024,100004747354476,117116826642021,1546542,1390.75,25-Jan-2024,,
6,24-Jan-2024,100004747707746,129842826712651,1546548,427.7,25-Jan-2024,,
7,24-Jan-2024,100004710861239,740898816610748,1546554,1600,25-Jan-2024,,
8,24-Jan-2024,100004501543142,174733763426969,1546559,1440.56,25-Jan-2024,,
9,24-Jan-2024,100004718377423,179788818952037,1546564,90.28,25-Jan-2024,,
10,24-Jan-2024,100004713425132,191455817467786,1546569,390,25-Jan-2024,,
11,24-Jan-2024,100004612396516,156791791288804,1546574,3750,25-Jan-2024,,
12,24-Jan-2024,100004744088817,209784825429318,1546580,120,25-Jan-2024,,
13,24-Jan-2024,100004747596581,770526826692990,1546585,443.05,25-Jan-2024,,
14,24-Jan-2024,100004744055995,512349825425775,1546591,115,25-Jan-2024,,
15,24-Jan-2024,100004748255447,328158826968937,1546608,1065.75,25-Jan-2024,,
16,24-Jan-2024,100004711912457,159376816795857,1546531,1415.28,25-Jan-2024,,
17,24-Jan-2024,100004747364021,358970826636752,1546543,2786.1,25-Jan-2024,,
18,24-Jan-2024,100004709030217,240785815868166,1546556,1290,25-Jan-2024,,
19,24-Jan-2024,100004701368166,113806813377533,1546567,880,25-Jan-2024,,
20,24-Jan-2024,100004730989394,116308822504250,1546582,430,25-Jan-2024,,
21,24-Jan-2024,100004710681957,360821816593930,1546593,1200.84,25-Jan-2024,,
22,24-Jan-2024,100004703375036,113322813852313,1546601,520,25-Jan-2024,,
23,24-Jan-2024,100004710156575,212134816222694,1546529,720,25-Jan-2024,,
24,24-Jan-2024,100004698754961,181647813010049,1546530,2270,25-Jan-2024,,
25,24-Jan-2024,100004721829703,116352820070682,1546533,1570.56,25-Jan-2024,,
26,24-Jan-2024,100004477680556,147669758357365,1546534,1935,25-Jan-2024,,
27,24-Jan-2024,100004748259917,822147827033456,1546535,2700.56,25-Jan-2024,,
28,24-Jan-2024,100004720120455,864240819549127,1546536,1200,25-Jan-2024,,
29,24-Jan-2024,100004744621112,121914825630111,1546538,625,25-Jan-2024,,
30,24-Jan-2024,100004745867818,512825826091693,1546539,105,25-Jan-2024,,
31,24-Jan-2024,100004746766105,120523826534985,1546540,555.28,25-Jan-2024,,
32,24-Jan-2024,100004747206712,323715826637120,1546541,1255.28,25-Jan-2024,,
33,24-Jan-2024,100004747579417,903798826692405,1546544,443.05,25-Jan-2024,,
34,24-Jan-2024,100004747620145,225880826692206,1546545,807.7,25-Jan-2024,,
35,24-Jan-2024,100004747660546,182677826693929,1546546,1233.75,25-Jan-2024,,
36,24-Jan-2024,100004747675478,844968826697577,1546547,328.4,25-Jan-2024,,
37,24-Jan-2024,100004747707837,608567826717152,1546549,357.7,25-Jan-2024,,
38,24-Jan-2024,100004747801099,171118826704150,1546550,813.05,25-Jan-2024,,
39,24-Jan-2024,100004748471716,163537827153137,1546551,667.7,25-Jan-2024,,
40,24-Jan-2024,100004721866580,274959820056175,1546552,1570.56,25-Jan-2024,,
41,24-Jan-2024,100004644106979,593030797935229,1546553,680,25-Jan-2024,,
42,24-Jan-2024,100004747953186,211525826773393,1546555,626.1,25-Jan-2024,,
43,24-Jan-2024,100004747758287,100714826702629,1546557,968.05,25-Jan-2024,,
44,24-Jan-2024,100004747722282,125468826696746,1546558,413.05,25-Jan-2024,,
45,24-Jan-2024,100004687819399,287772809396772,1546560,455.28,25-Jan-2024,,
