S.NO.,REFUND DATE,"IRCTC ORDER NO.","BANK BOOKING REF.NO.","BANK REFUND REF.NO.","REFUND AMOUNT",DEBITED ON,"CUST.ACC.NO.",REMARKS
1,10-Jan-2024,100004701682276,386756813487199,1545467,335.28,11-Jan-2024,,
2,10-Jan-2024,100004586628835,923256785948447,1545468,401.12,11-Jan-2024,,
3,10-Jan-2024,100004719702178,162637819300821,1545470,443.05,11-Jan-2024,,
4,10-Jan-2024,100004717665555,209111818559878,1545471,730.56,11-Jan-2024,,
5,10-Jan-2024,100004720120407,166650819544090,1545472,2376.1,11-Jan-2024,,
6,10-Jan-2024,100004719607589,674615819296984,1545475,378.4,11-Jan-2024,,
7,10-Jan-2024,100004720120431,155968819546356,1545476,2376.1,11-Jan-2024,,
8,10-Jan-2024,100004656279390,124444800945993,1545477,260.56,11-Jan-2024,,
9,10-Jan-2024,100004719558923,199550819298236,1545478,1818.05,11-Jan-2024,,
10,10-Jan-2024,100004719406551,198506819256432,1545480,650,11-Jan-2024,,
11,10-Jan-2024,100004719557612,549554819297172,1545481,543.05,11-Jan-2024,,
12,10-Jan-2024,100004586628850,185937785948874,1545482,640,11-Jan-2024,,
13,10-Jan-2024,100004715738136,156421817785459,1545483,1035.28,11-Jan-2024,,
14,10-Jan-2024,100004712453163,639461817069791,1545486,665,11-Jan-2024,,
15,10-Jan-2024,100004538619156,132693772728575,1545487,235,11-Jan-2024,,
16,10-Jan-2024,100004719612499,114566819298832,1545488,443.05,11-Jan-2024,,
17,10-Jan-2024,100004596112011,329740787849115,1545490,4200.56,11-Jan-2024,,
18,10-Jan-2024,100004718636808,556334819114749,1545491,285,11-Jan-2024,,
19,10-Jan-2024,100004665296327,174369803680832,1545492,2700,11-Jan-2024,,
20,10-Jan-2024,100004710522036,155008816382866,1545493,660.56,11-Jan-2024,,
21,10-Jan-2024,100004716281661,155980818124144,1545495,1260.28,11-Jan-2024,,
22,10-Jan-2024,100004718014844,206898818785216,1545497,895,11-Jan-2024,,
23,10-Jan-2024,100004719282635,735866819235890,1545498,2180,11-Jan-2024,,
24,10-Jan-2024,100004719601110,139964819296077,1545500,413.05,11-Jan-2024,,
25,10-Jan-2024,100004719707474,213494819319526,1545501,1600,11-Jan-2024,,
