S.NO.,REFUND DATE,"IRCTC ORDER NO.","BANK BOOKING REF.NO.","BANK REFUND REF.NO.","REFUND AMOUNT",DEBITED ON,"CUST.ACC.NO.",REMARKS
94,07-Jan-2024,100004713779420,154803817497099,1545298,1050.28,08-Jan-2024,,
95,07-Jan-2024,100004703315237,188364813843341,1545299,165.28,08-Jan-2024,,
96,07-Jan-2024,100004703416534,200414813906575,1545300,320,08-Jan-2024,,
97,07-Jan-2024,100004713817688,125666817497631,1545301,512.7,08-Jan-2024,,
98,07-Jan-2024,100004439294313,107989748506097,1545302,315,08-Jan-2024,,
99,07-Jan-2024,100004714176930,182417817553276,1545303,488.05,08-Jan-2024,,
100,07-Jan-2024,100004701452541,160875813431240,1545304,645.28,08-Jan-2024,,
101,07-Jan-2024,100004681269345,150258808168308,1545305,850.28,08-Jan-2024,,
102,07-Jan-2024,100004692096704,171020810847901,1545307,190,08-Jan-2024,,
103,07-Jan-2024,100004589195253,179163786563677,1545308,200.28,08-Jan-2024,,
104,07-Jan-2024,100004440326983,131681748768917,1545309,1180.28,08-Jan-2024,,
105,07-Jan-2024,100004705087539,991984814516810,1545310,1510,08-Jan-2024,,
106,07-Jan-2024,100004708588358,197046815807690,1545312,1570.56,08-Jan-2024,,
107,07-Jan-2024,100004710062222,117076816124988,1545313,130.28,08-Jan-2024,,
108,07-Jan-2024,100004713501604,573227817480053,1545314,7046.1,08-Jan-2024,,
109,07-Jan-2024,100004713572930,120997817494405,1545315,95.28,08-Jan-2024,,
110,07-Jan-2024,100004713854430,129228817498383,1545316,558.05,08-Jan-2024,,
111,07-Jan-2024,100004714848886,210306817638764,1545317,567.7,08-Jan-2024,,
112,07-Jan-2024,100004657872208,188470801371793,1545318,270,08-Jan-2024,,
113,07-Jan-2024,100004535098146,204968771841146,1545319,101.12,08-Jan-2024,,
114,07-Jan-2024,100004713537416,271825817480086,1545320,1185.75,08-Jan-2024,,
115,07-Jan-2024,100004701148644,148788813333137,1545321,525,08-Jan-2024,,
116,07-Jan-2024,100004714176904,644844817552585,1545322,488.05,08-Jan-2024,,
117,07-Jan-2024,100004679525563,129378807639437,1545323,625.28,08-Jan-2024,,
118,07-Jan-2024,100004708140041,421794815620511,1545324,1290,08-Jan-2024,,
119,07-Jan-2024,100004713838703,168003817500223,1545325,1501.4,08-Jan-2024,,
