S.NO.,REFUND DATE,"IRCTC ORDER NO.","BANK BOOKING REF.NO.","BANK REFUND REF.NO.","REFUND AMOUNT",DEBITED ON,"CUST.ACC.NO.",REMARKS
1,23-Jan-2024,100004717561222,160887818539864,1546427,600,24-Jan-2024,,
2,23-Jan-2024,100004745995561,927653826132556,1546429,95.28,24-Jan-2024,,
3,23-Jan-2024,100004623475222,108545793438117,1546431,1040,24-Jan-2024,,
4,23-Jan-2024,100004745539240,761141825969634,1546432,2780.56,24-Jan-2024,,
5,23-Jan-2024,100004745894820,121802826115654,1546433,3006.1,24-Jan-2024,,
6,23-Jan-2024,100004506958955,208829765153058,1546434,1701.12,24-Jan-2024,,
7,23-Jan-2024,100004631916280,108555795391577,1546436,185.28,24-Jan-2024,,
8,23-Jan-2024,100004745805211,171535826024838,1546437,1258.4,24-Jan-2024,,
9,23-Jan-2024,100004705689221,437574814702825,1546438,335,24-Jan-2024,,
10,23-Jan-2024,100004687142647,106153809271535,1546441,585,24-Jan-2024,,
11,23-Jan-2024,100004726597847,817214821613505,1546442,1290.84,24-Jan-2024,,
12,23-Jan-2024,100004745441756,109584825969916,1546443,1325.75,24-Jan-2024,,
13,23-Jan-2024,100004746471565,104061826451463,1546444,120,24-Jan-2024,,
14,23-Jan-2024,100004742184274,155436825189880,1546446,800.28,24-Jan-2024,,
15,23-Jan-2024,100004746278038,782637826243596,1546447,50,24-Jan-2024,,
16,23-Jan-2024,100004726302842,155782821574361,1546448,2960,24-Jan-2024,,
17,23-Jan-2024,100004664350672,177975803328518,1546449,260,24-Jan-2024,,
18,23-Jan-2024,100004745779252,173452826025950,1546452,443.05,24-Jan-2024,,
19,23-Jan-2024,100004682725891,108516808475844,1546453,1070,24-Jan-2024,,
20,23-Jan-2024,100004631916222,111280795386635,1546454,185.28,24-Jan-2024,,
21,23-Jan-2024,100004745517281,966506825969229,1546456,2255.75,24-Jan-2024,,
22,23-Jan-2024,100004588075461,903413786218360,1546457,1630,24-Jan-2024,,
23,23-Jan-2024,100004742034306,470034825176236,1546458,1110.56,24-Jan-2024,,
24,23-Jan-2024,100004664932353,192190803477435,1546459,759,24-Jan-2024,,
25,23-Jan-2024,100004710407552,212586816380995,1546461,1480,24-Jan-2024,,
26,23-Jan-2024,100004743211604,197903825285677,1546462,445,24-Jan-2024,,
27,23-Jan-2024,100004745605167,351982825984155,1546463,152.7,24-Jan-2024,,
28,23-Jan-2024,100004701843711,352811813576649,1546464,2140,24-Jan-2024,,
